player_id,surface,matches,wins,losses,win_rate,surface_elo,surface_elo_rank
101073,Hard,28,14,14,0.5,1510.5420765329302,402.0
101073,Carpet,5,2,3,0.4,1488.7688364935989,305.0
101076,Carpet,1,0,1,0.0,1488.0,333.0
101080,Clay,1,0,1,0.0,1488.0,790.0
101083,Hard,2,0,2,0.0,1478.0168650566943,1086.0
101083,Grass,1,0,1,0.0,1488.400484255192,597.0
101084,Hard,128,68,60,0.5312,1555.1413151623376,213.0
101084,Carpet,87,47,40,0.5402,1550.6247635943173,71.0
101084,Clay,47,22,25,0.4681,1561.1112743393983,174.0
101084,Grass,29,15,14,0.5172,1524.678267808361,214.0
101086,Clay,95,36,59,0.3789,1433.6276001264919,1469.0
101086,Hard,48,11,37,0.2292,1384.4459113756957,1674.0
101086,Carpet,37,13,24,0.3514,1457.3756210857027,577.0
101086,Grass,6,2,4,0.3333,1478.8216412891773,827.0
101093,Hard,3,1,2,0.3333,1489.7834398974726,737.0
101093,Carpet,1,0,1,0.0,1488.0,341.0
101096,Hard,44,16,28,0.3636,1420.2386544029946,1603.0
101096,Grass,13,6,7,0.4615,1494.2571831118632,454.0
101096,Carpet,10,4,6,0.4,1477.3579860840368,465.0
101096,Clay,1,0,1,0.0,1487.585699413623,839.0
101097,Hard,5,1,4,0.2,1470.2887787720135,1203.0
101097,Carpet,5,1,4,0.2,1472.5987987987044,507.0
101097,Clay,2,0,2,0.0,1476.827614673444,1067.0
101097,Grass,1,0,1,0.0,1488.0,629.0
101098,Hard,119,78,41,0.6555,1551.6044345132077,222.0
101098,Carpet,75,45,30,0.6,1559.6300926874426,60.0
101098,Clay,48,21,27,0.4375,1517.8130513630963,329.0
101098,Grass,26,14,12,0.5385,1534.6071889400105,175.0
101105,Clay,1,0,1,0.0,1487.2107553159944,861.0
101106,Hard,31,12,19,0.3871,1467.0095610637886,1235.0
101106,Carpet,10,3,7,0.3,1464.3152501911911,549.0
101106,Grass,10,3,7,0.3,1455.928686736599,1083.0
101106,Clay,4,0,4,0.0,1450.3719287590864,1363.0
101108,Hard,4,1,3,0.25,1483.787635892836,999.0
101108,Grass,1,0,1,0.0,1489.1857659643438,569.0
101109,Clay,10,2,8,0.2,1435.465876807605,1451.0
101109,Hard,3,1,2,0.3333,1487.168730537226,901.0
101110,Clay,1,0,1,0.0,1489.2920601914466,719.0
101117,Clay,14,6,8,0.4286,1493.2295775722043,619.0
101117,Carpet,9,3,6,0.3333,1470.7982180084086,514.0
101117,Hard,6,2,4,0.3333,1481.751842462725,1028.0
101117,Grass,3,1,2,0.3333,1488.0,624.0
101119,Clay,31,12,19,0.3871,1434.9018176757138,1457.0
101119,Hard,13,4,9,0.3077,1441.1761931475664,1501.0
101119,Carpet,4,0,4,0.0,1454.8068574374704,591.0
101119,Grass,1,0,1,0.0,1488.0,627.0
101120,Clay,153,98,55,0.6405,1561.294223283699,173.0
101120,Carpet,66,33,33,0.5,1512.742905289255,127.0
101120,Hard,59,34,25,0.5763,1579.7327863513087,159.0
101120,Grass,12,6,6,0.5,1499.8177859840905,407.0
101123,Hard,54,19,35,0.3519,1414.1544461690485,1619.0
101123,Carpet,31,12,19,0.3871,1455.986981387993,585.0
101123,Grass,10,4,6,0.4,1491.9820685002248,489.0
101123,Clay,7,1,6,0.1429,1448.6336409757334,1380.0
101124,Clay,42,18,24,0.4286,1476.1480920483602,1082.0
101124,Hard,7,2,5,0.2857,1468.781836992774,1217.0
101124,Carpet,7,3,4,0.4286,1499.631711748805,195.0
101126,Hard,34,15,19,0.4412,1484.4061752843832,986.0
101126,Carpet,14,5,9,0.3571,1464.384170966875,548.0
101126,Grass,4,1,3,0.25,1475.826954731535,889.0
101126,Clay,2,1,1,0.5,1499.4415452879728,531.0
101131,Hard,8,2,6,0.25,1457.5283699383779,1366.0
101131,Clay,5,2,3,0.4,1487.218452128956,860.0
101131,Grass,1,0,1,0.0,1487.61284214615,672.0
101133,Hard,54,22,32,0.4074,1435.4827286341879,1537.0
101133,Carpet,24,9,15,0.375,1455.0751008162258,588.0
101133,Clay,20,7,13,0.35,1467.19807950818,1203.0
101133,Grass,15,5,10,0.3333,1461.975947742287,1054.0
101138,Hard,22,9,13,0.4091,1485.8672826736445,950.0
101138,Grass,14,7,7,0.5,1501.7466777681134,366.0
101138,Carpet,11,5,6,0.4545,1494.126140401786,238.0
101138,Clay,5,0,5,0.0,1453.6884382231162,1336.0
101142,Clay,170,86,84,0.5059,1446.851125005338,1387.0
101142,Hard,84,45,39,0.5357,1473.4493265653314,1169.0
101142,Carpet,12,3,9,0.25,1439.5711750509302,625.0
101142,Grass,3,0,3,0.0,1464.0282118179998,1031.0
101143,Grass,3,1,2,0.3333,1489.873384832641,539.0
101143,Clay,2,1,1,0.5,1509.7542916207592,402.0
101143,Carpet,1,0,1,0.0,1489.1124593849895,296.0
101145,Hard,7,2,5,0.2857,1480.6241130447372,1046.0
101145,Grass,1,0,1,0.0,1488.1628526666864,612.0
101147,Clay,52,24,28,0.4615,1485.3064736325089,914.0
101147,Hard,13,4,9,0.3077,1451.1955447999433,1427.0
101147,Carpet,5,1,4,0.2,1462.894410003397,554.0
101147,Grass,1,0,1,0.0,1487.2401331525316,706.0
101149,Carpet,1,0,1,0.0,1487.7187224949969,356.0
101150,Hard,203,85,118,0.4187,1505.3275671787,455.0
101150,Grass,63,32,31,0.5079,1529.1630200416275,196.0
101150,Carpet,61,26,35,0.4262,1484.261022524761,410.0
101150,Clay,35,6,29,0.1714,1377.5587614597791,1553.0
101154,Hard,38,12,26,0.3158,1401.8261432445331,1647.0
101154,Grass,16,7,9,0.4375,1488.7355271543765,584.0
101154,Carpet,6,1,5,0.1667,1457.88257310609,574.0
101154,Clay,6,0,6,0.0,1442.9246906308695,1411.0
101174,Hard,23,10,13,0.4348,1479.0727050250268,1062.0
101174,Grass,4,0,4,0.0,1454.413549468533,1093.0
101174,Clay,4,1,3,0.25,1476.6087036012668,1070.0
101174,Carpet,2,1,1,0.5,1500.414300586377,189.0
101179,Hard,74,27,47,0.3649,1444.2439897012337,1477.0
101179,Clay,36,15,21,0.4167,1470.004812097438,1174.0
101179,Carpet,20,8,12,0.4,1473.602107964453,502.0
101179,Grass,12,6,6,0.5,1508.9195220182964,296.0
101185,Hard,216,111,105,0.5139,1506.4021591001522,442.0
101185,Carpet,71,38,33,0.5352,1577.1144900854251,45.0
101185,Clay,67,32,35,0.4776,1510.0020728848453,397.0
101185,Grass,54,28,26,0.5185,1541.8763686820912,156.0
101190,Hard,23,13,10,0.5652,1546.912895994171,236.0
101190,Carpet,3,1,2,0.3333,1491.4022952580274,257.0
101190,Grass,2,1,1,0.5,1507.182154626061,308.0
101190,Clay,1,0,1,0.0,1490.3054783489197,683.0
101191,Hard,205,106,99,0.5171,1546.7522291310781,238.0
101191,Carpet,62,32,30,0.5161,1542.6467905805719,77.0
101191,Clay,60,33,27,0.55,1552.6313605505024,195.0
101191,Grass,49,28,21,0.5714,1564.9190390114734,114.0
101195,Hard,127,79,48,0.622,1652.674392793884,74.0
101195,Carpet,39,17,22,0.4359,1475.3461540165617,488.0
101195,Grass,18,9,9,0.5,1507.9951785761816,303.0
