player_id,player_name,country,is_active,atp_rank,atp_points,overall_elo,elo_rank,best_surface,matches,last_10_record,last_30_record
144642,Tomas Barrios Vera,CHI,True,136.0,450.0,1443.373890018627,1804.0,Grass,38.0,4-6,9-21
105583,Dusan Lajovic,SRB,True,137.0,446.0,1504.6815034954764,580.0,Hard,479.0,4-6,9-21
105882,Stefano Travaglia,ITA,True,138.0,443.0,1516.3839478081352,441.0,Hard,91.0,4-6,14-16
121411,Moez Echargui,TUN,True,139.0,441.0,1485.8831026557195,1152.0,Grass,11.0,4-6,4-7
124079,Pedro Martinez,ESP,True,140.0,431.0,1482.9866786980162,1214.0,Clay,217.0,5-5,10-20
126128,Roman Safiullin,RUS,True,141.0,430.0,1640.677642524065,101.0,Hard,143.0,7-3,16-14
209284,Elmer Moller,DEN,True,142.0,426.0,1498.6885010722197,682.0,Clay,15.0,4-6,5-10
144750,Lloyd Harris,RSA,True,143.0,423.0,1553.8414769841318,268.0,Hard,157.0,4-6,11-19
106198,Hugo Dellien,BOL,True,144.0,421.0,1431.3242783176593,1874.0,Clay,101.0,4-6,7-23
126535,Carlos Taberner,ESP,True,145.0,420.0,1521.5694555379544,416.0,Clay,47.0,5-5,12-18
210116,Michael Zheng,USA,True,146.0,414.0,1586.9075908280095,182.0,Grass,17.0,7-3,11-6
208021,Kyrian Jacquet,FRA,True,147.0,411.0,1549.5248449047308,277.0,Grass,22.0,6-4,12-10
210460,Nishesh Basavareddy,USA,True,148.0,409.0,1520.1090720888415,424.0,Hard,34.0,4-6,11-19
111442,Jordan Thompson,AUS,True,149.0,408.0,1640.9009158705485,100.0,Hard,328.0,3-7,14-16
126129,Billy Harris,GBR,True,150.0,408.0,1503.5897892856374,594.0,Grass,37.0,4-6,11-19
207680,Facundo Diaz Acosta,ARG,True,151.0,407.0,1538.7453081538956,321.0,Clay,59.0,5-5,12-18
106109,Alex Bolt,AUS,True,152.0,406.0,1505.9370732168502,561.0,Hard,58.0,3-7,11-19
210536,Rei Sakamoto,JPN,True,153.0,405.0,1488.754212502766,969.0,Grass,9.0,3-6,3-6
209259,Arthur Fery,GBR,True,154.0,404.0,1585.936108482233,183.0,Grass,21.0,7-3,11-10
106331,Christopher Oconnell,AUS,True,155.0,403.0,1523.4009813335067,404.0,Hard,165.0,3-7,11-19
