player_id,player_name,name_first,name_last,hand,dob,ioc,height,wikidata_id,atp_rank,atp_points,elo,elo_rank,best_surface,best_surface_elo,historical_matches,prediction_appearances,wins,losses,win_loss_record,last_match_date,is_active
104513,Leandro Migani,Leandro,Migani,R,19850302.0,ARG,,,,,,,,,0,0,0,0,0-0,,False
104514,Arun Prakash Rajagopalan,Arun,Prakash Rajagopalan,U,19850304.0,IND,,,,,,,,,0,0,0,0,0-0,,False
104517,Adam Feeney,Adam,Feeney,R,19850307.0,AUS,178.0,Q13512820,,,,,,,0,0,0,0,0-0,,False
104518,Amrit Narasimhan,Amrit,Narasimhan,U,19850310.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104519,Roman Vogeli,Roman,Vogeli,R,19850313.0,CZE,,,,,,,,,0,0,0,0,0-0,,False
104520,Sebastian Salas,Sebastian,Salas,U,19850313.0,MEX,,,,,,,,,0,0,0,0,0-0,,False
104521,Jacob Melskens,Jacob,Melskens,R,19850320.0,DEN,,Q100789618,,,,,,,0,0,0,0,0-0,,False
104522,Chris Klingemann,Chris,Klingemann,U,19850324.0,CAN,,,,,,,,,0,0,0,0,0-0,,False
104524,Walter Valarezo,Walter,Valarezo,U,19850325.0,ECU,,,,,,,,,0,0,0,0,0-0,,False
104525,Tore Deleuran Skjold Db37,Tore,Deleuran Skjold Db37,L,19850326.0,DEN,,,,,,,,,0,0,0,0,0-0,,False
104526,Meng Hua Lee,Meng Hua,Lee,R,19850327.0,TPE,,,,,,,,,0,0,0,0,0-0,,False
104528,Brian Grooms,Brian,Grooms,U,19850329.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104529,David Villanueva Perez,David,Villanueva Perez,R,19850329.0,ESP,,,,,,,,,0,0,0,0,0-0,,False
104530,Luke Shields,Luke,Shields,U,19850401.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104531,Sergio Ramirez,Sergio,Ramirez,U,19850401.0,COL,,,,,,,,,0,0,0,0,0-0,,False
104532,Jose Checa Calvo,Jose,Checa Calvo,L,19850402.0,ESP,,Q16298347,,,,,,,0,0,0,0,0-0,,False
